FIPS,% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Primary Care Physicians Rate,High School Graduation Rate,% Unemployed,County and State,Median Income,State,County
12073,31,22,83.0,86.0,90.0,3.3,"Leon County, Florida",51201, Florida,Leon County
12075,32,37,47.0,17.0,79.0,3.8,"Levy County, Florida",37634, Florida,Levy County
12079,35,33,50.0,11.0,81.0,3.9,"Madison County, Florida",35509, Florida,Madison County
12081,27,24,91.0,56.0,82.0,3.4,"Manatee County, Florida",56036, Florida,Manatee County
12083,30,33,76.0,58.0,77.0,4.3,"Marion County, Florida",43361, Florida,Marion County
12085,19,23,97.0,66.0,84.0,3.5,"Martin County, Florida",57959, Florida,Martin County
12086,22,25,98.0,79.0,81.0,3.9,"Miami-Dade County, Florida",48982, Florida,Miami-Dade County
12087,22,23,100.0,77.0,80.0,2.6,"Monroe County, Florida",67023, Florida,Monroe County
12089,28,25,72.0,47.0,91.0,3.2,"Nassau County, Florida",66297, Florida,Nassau County
12091,27,28,75.0,79.0,87.0,2.9,"Okaloosa County, Florida",62048, Florida,Okaloosa County
12093,33,38,77.0,48.0,72.0,3.7,"Okeechobee County, Florida",40367, Florida,Okeechobee County
12095,25,25,94.0,87.0,84.0,3.2,"Orange County, Florida",54335, Florida,Orange County
12097,30,31,78.0,41.0,87.0,3.6,"Osceola County, Florida",50063, Florida,Osceola County
12099,21,23,94.0,79.0,86.0,3.6,"Palm Beach County, Florida",59943, Florida,Palm Beach County
12101,32,30,86.0,59.0,82.0,3.8,"Pasco County, Florida",50417, Florida,Pasco County
12103,25,24,97.0,88.0,83.0,3.3,"Pinellas County, Florida",51454, Florida,Pinellas County
12105,37,29,79.0,49.0,78.0,4.1,"Polk County, Florida",48500, Florida,Polk County
12107,39,37,51.0,44.0,72.0,4.8,"Putnam County, Florida",35649, Florida,Putnam County
12109,23,21,94.0,96.0,90.0,2.9,"St. Johns County, Florida",77323, Florida,St. Johns County
12111,30,30,78.0,38.0,91.0,4.4,"St. Lucie County, Florida",49373, Florida,St. Lucie County
12113,30,30,77.0,71.0,87.0,3.3,"Santa Rosa County, Florida",66242, Florida,Santa Rosa County
12115,21,22,92.0,76.0,86.0,3.4,"Sarasota County, Florida",58644, Florida,Sarasota County
12117,27,20,91.0,76.0,89.0,3.2,"Seminole County, Florida",63760, Florida,Seminole County
12119,29,22,82.0,38.0,85.0,5.1,"Sumter County, Florida",55228, Florida,Sumter County
12121,38,37,49.0,16.0,93.0,3.7,"Suwannee County, Florida",42686, Florida,Suwannee County
12123,35,35,68.0,37.0,70.0,3.8,"Taylor County, Florida",36934, Florida,Taylor County
12125,37,32,22.0,26.0,81.0,3.4,"Union County, Florida",41770, Florida,Union County
12127,30,29,89.0,69.0,77.0,3.7,"Volusia County, Florida",46760, Florida,Volusia County
12129,40,30,84.0,31.0,88.0,3.1,"Wakulla County, Florida",62778, Florida,Wakulla County
12131,32,32,66.0,53.0,83.0,3.1,"Walton County, Florida",53785, Florida,Walton County
